timestamp,pv_voltage_V,pv_current_A,pv_power_W,pv_status,battery_voltage_V,battery_current_A,battery_charge_power_W,battery_charge_set_W,battery_charge_voltage_V,battery_ovp_V,battery_uvp_V,grid_voltage_V,grid_current_A,grid_input_power_W,grid_charge_power_W,grid_freq_Hz,grid_status,output_switch,output_voltage_V,output_current_A,output_power_W,output_freq_Hz,temp_inverter_C,temp_boost_C,temp_transformer_C,fan_current_pct,fan_setpoint_pct,op_mode,inverter_on,ac_charging,bypassing,fault_active,faults,warnings,fault_code
2026-06-12T17:07:25.071140,0.0,5.0,1800,Abnormal,38.5,0.0,0,0,0.0,59.2,38.6,230.0,10.0,21,17,49.94,Abnormal,0,0.0,0.0,3450,50.0,26.6,25.8,0.0,0,-19529,PV fault,0,0,0,0,,,0
2026-06-12T17:07:28.071005,0.0,5.0,1800,Abnormal,49.0,0.0,32,0,0.0,59.2,38.6,6.9,0.36,33,32,50.0,Normal,0,0.0,0.0,0,0.0,26.0,26.3,0.0,0,-19529,PV fault,0,0,0,0,,,0
2026-06-12T17:07:31.071020,0.0,5.0,1800,Abnormal,49.0,0.0,32,32,51.2,60.0,26.0,6.9,0.36,33,32,50.0,Normal,0,0.0,0.0,0,0.0,0.5,0.8,0.0,0,-21846,PV fault,0,1,0,0,,,0
2026-06-12T17:07:34.071120,0.0,0.0,0,Abnormal,50.6,0.0,0,32,51.2,60.0,26.0,8.0,0.36,28,21,49.96,Normal,0,0.0,0.0,0,0.0,0.5,25.7,0.0,0,-21846,State 0,0,0,0,0,,,0
2026-06-12T17:07:37.071185,0.0,0.0,0,Abnormal,46.8,0.0,0,68,51.2,6.4,38.6,7.1,0.05,10,22,48.69,Abnormal,0,0.0,0.0,0,0.0,26.1,1.0,0.0,0,21845,PV fault,0,1,0,0,,,0
2026-06-12T17:07:40.071364,0.2,0.0,0,Abnormal,34.2,0.0,0,68,51.2,6.4,38.6,225.4,0.39,33,1,46.13,Normal,0,0.0,0.0,0,0.0,26.1,1.0,0.0,0,21845,PV fault,0,1,0,0,,,0
2026-06-12T17:07:43.071353,0.0,0.0,0,Abnormal,34.2,0.0,0,68,51.2,59.2,26.0,225.4,0.39,4,42,5.19,Normal,0,0.0,0.0,0,0.0,27.2,25.7,0.0,0,21930,PV fault,0,1,0,0,,,0
2026-06-12T17:07:46.071357,0.0,0.0,0,Abnormal,34.2,0.0,0,68,0.0,7.2,39.0,225.4,0.39,0,0,49.96,Abnormal,0,0.0,0.0,0,0.0,1.6,1.1,0.0,0,21930,PV fault,0,0,0,0,,,0
2026-06-12T17:07:49.071493,0.2,0.0,0,Abnormal,8.5,0.0,0,100,51.2,8.0,26.0,212.8,0.34,1,34,49.96,Normal,0,0.0,0.0,0,0.0,27.3,26.4,0.0,0,-23121,PV fault,0,1,0,0,,,0
2026-06-12T17:07:52.071464,0.2,0.0,0,Abnormal,8.4,0.0,18,100,51.2,8.0,26.0,20.6,0.06,1,34,49.96,Normal,0,0.0,0.0,0,0.0,27.3,26.4,0.0,0,-23121,PV fault,0,1,0,0,,,0
2026-06-12T17:07:55.071555,0.2,0.0,0,Abnormal,8.4,0.0,18,68,51.2,0.8,38.8,20.6,0.06,29,29,48.68,Normal,0,0.0,0.0,0,0.0,27.4,0.5,0.0,0,-21846,PV fault,0,1,0,0,,,0
2026-06-12T17:07:58.071728,0.2,0.0,0,Abnormal,9.0,0.0,0,68,51.2,8.0,0.4,19.6,0.04,32,1,47.38,Normal,0,0.0,0.0,0,0.0,27.3,26.1,0.0,0,-2731,PV fault,0,1,0,0,,,0
2026-06-12T17:08:01.071825,0.0,0.0,0,Abnormal,23.4,0.0,0,68,0.0,59.2,0.4,211.6,0.04,44,5,5.18,Normal,0,0.0,0.0,0,0.0,27.3,26.1,0.0,0,22394,PV fault,0,1,0,0,,,0
2026-06-12T17:08:04.071608,0.0,0.0,0,Abnormal,34.1,0.0,0,68,51.2,8.0,26.0,211.9,0.05,14,46,48.68,Abnormal,0,0.0,0.0,0,0.0,27.3,26.1,0.0,0,31322,PV fault,0,1,0,0,,,0
2026-06-12T17:08:07.071683,0.0,0.0,0,Abnormal,34.1,0.0,0,68,51.2,60.0,26.0,20.6,0.36,1,1,46.13,Normal,0,0.0,0.0,0,0.0,27.6,26.2,0.0,0,21845,PV fault,0,0,0,0,,,0
2026-06-12T17:08:10.071666,0.2,0.0,0,Abnormal,50.2,0.0,0,68,0.0,53.6,13.2,225.4,0.04,1,3,49.97,Normal,0,0.0,0.0,0,0.0,27.6,26.2,0.0,0,-5547,PV fault,0,0,0,0,,,0
2026-06-12T17:08:13.072071,0.0,0.0,0,Abnormal,17.0,0.0,0,68,0.0,8.0,0.4,20.0,0.34,24,20,44.84,Abnormal,0,0.0,0.0,0,0.0,27.7,27.2,0.0,0,22506,PV shutdown,0,0,0,0,,,0
2026-06-12T17:08:16.072087,0.2,0.0,0,Abnormal,17.0,0.0,0,68,0.0,59.2,38.8,20.0,0.34,20,8,43.57,Normal,0,0.0,0.0,0,0.0,27.6,27.2,0.0,0,-5547,PV fault,0,1,0,0,,,0
2026-06-12T17:08:19.072148,0.2,0.0,0,Abnormal,17.0,0.0,0,68,0.0,8.8,38.8,20.0,0.34,20,28,49.97,Abnormal,0,0.0,0.0,0,0.0,27.6,27.2,0.0,0,21855,PV fault,0,1,0,0,,,0
2026-06-12T17:08:22.072355,0.2,0.0,0,Abnormal,49.0,0.0,0,68,51.2,8.8,25.8,211.7,0.34,4,38,49.92,Abnormal,0,0.0,0.0,0,0.0,1.6,27.2,0.0,0,-21665,State 0,0,0,0,0,,,0
